sanctuary,site,status,date,time,group.no,groupID,transect,length.mm,stage,school,comments
Armstrong,Little_Armstrong_Bay,No-take,1/21/2019,10:30,2,THJ,10,160,F,4,NA
Armstrong,Little_Armstrong_Bay,No-take,1/21/2019,10:30,2,THJ,10,110,F,4,NA
Armstrong,Parakeet_Bay,Fished,1/21/2019,1515,2,AAE,1,NA,NA,NA,NA
Armstrong,Parakeet_Bay,Fished,1/21/2019,1515,2,AAE,2,100,F,1,NA
Armstrong,Parakeet_Bay,Fished,1/21/2019,1515,2,AAE,2,100,F,1,NA
Armstrong,Parakeet_Bay,Fished,1/21/2019,1515,2,AAE,2,100,F,1,NA
Armstrong,Parakeet_Bay,Fished,1/21/2019,1515,2,AAE,2,100,F,1,NA
Armstrong,Parakeet_Bay,Fished,1/21/2019,1515,2,AAE,2,100,F,1,NA
Armstrong,Parakeet_Bay,Fished,1/21/2019,1515,2,AAE,2,100,F,1,NA
Armstrong,Parakeet_Bay,Fished,1/21/2019,1515,2,AAE,2,100,F,1,NA
Armstrong,Parakeet_Bay,Fished,1/21/2019,1515,2,AAE,2,160,F,2,NA
Armstrong,Parakeet_Bay,Fished,1/21/2019,1515,2,AAE,2,160,F,2,NA
Armstrong,Parakeet_Bay,Fished,1/21/2019,1515,2,AAE,2,160,F,2,NA
Armstrong,Parakeet_Bay,Fished,1/21/2019,1515,2,AAE,2,150,F,3,NA
Armstrong,Parakeet_Bay,Fished,1/21/2019,1515,2,AAE,2,150,F,3,NA
Armstrong,Parakeet_Bay,Fished,1/21/2019,1515,2,AAE,2,150,F,3,NA
Armstrong,Parakeet_Bay,Fished,1/21/2019,1515,2,AAE,2,150,F,3,NA
Armstrong,Parakeet_Bay,Fished,1/21/2019,1515,2,AAE,2,150,F,3,NA
